membership_no,billing_date
AGL-000001,2/24/2026
AGL-000002,2/24/2026
AGL-000003,2/27/2026
AGL-000004,2/24/2026
AGL-000005,3/29/2026
AGL-000006,2/24/2026
AGL-000007,2/24/2026
AGL-000008,2/24/2026
AGL-000009,2/24/2026
AGL-000010,3/19/2026
AGL-000011,4/19/2026
AGL-000012,2/24/2026
AGL-000013,9/29/2026
AGL-000014,2/24/2026
AGL-000015,2/24/2026
AGL-000016,4/5/2026
AGL-000017,3/14/2026
AGL-000018,2/25/2026
AGL-000019,2/25/2026
AGL-000020,3/16/2026
AGL-000021,2/25/2026
AGL-000022,4/14/2026
AGL-000023,3/26/2026
AGL-000024,2/25/2026
AGL-000025,2/25/2026
AGL-000026,3/6/2026
AGL-000027,3/20/2026
AGL-000028,2/25/2026
AGL-000029,4/15/2026
AGL-000030,2/25/2026
AGL-000031,2/26/2026
AGL-000032,2/26/2026
AGL-000033,3/20/2026
AGL-000034,4/12/2026
AGL-000035,4/6/2026
AGL-000036,2/26/2026
AGL-000037,3/19/2026
AGL-000038,2/26/2026
AGL-000039,3/26/2026
AGL-000040,3/27/2026
AGL-000041,2/26/2026
AGL-000042,3/29/2026
AGL-000043,2/27/2026
AGL-000044,2/27/2026
AGL-000045,2/27/2026
AGL-000046,2/27/2026
AGL-000047,2/27/2026
AGL-000048,2/27/2026
AGL-000049,4/11/2026
AGL-000050,3/1/2026
AGL-000051,3/7/2026
AGL-000052,4/9/2026
AGL-000053,4/8/2026
AGL-000054,3/12/2026
AGL-000055,3/1/2026
AGL-000056,3/1/2026
AGL-000057,3/9/2026
AGL-000058,3/1/2026
AGL-000059,3/2/2026
AGL-000060,4/7/2026
AGL-000061,3/12/2026
AGL-000062,3/6/2026
AGL-000063,3/2/2026
AGL-000064,3/10/2026
AGL-000065,3/5/2026
AGL-000066,3/2/2026
AGL-000067,3/29/2026
AGL-000068,4/20/2026
AGL-000069,4/4/2026
AGL-000070,3/2/2026
AGL-000071,4/18/2026
AGL-000072,3/16/2026
AGL-000073,3/3/2026
AGL-000074,4/4/2026
AGL-000075,4/7/2026
AGL-000076,3/3/2026
AGL-000077,4/21/2026
AGL-000078,3/1/2026
AGL-000079,3/1/2026
AGL-000080,3/1/2026
AGL-000081,3/2/2026
AGL-000082,3/2/2026
AGL-000083,3/5/2026
AGL-000084,3/5/2026
AGL-000085,3/5/2026
AGL-000086,3/5/2026
AGL-000087,3/10/2026
AGL-000088,3/10/2026
AGL-000089,3/6/2026
AGL-000090,3/6/2026
AGL-000091,3/6/2026
AGL-000092,3/6/2026
AGL-000093,3/7/2026
AGL-000094,3/9/2026
AGL-000095,3/9/2026
AGL-000096,3/9/2026
AGL-000097,3/9/2026
AGL-000098,3/9/2026
AGL-000099,4/13/2026
AGL-000100,3/12/2026
AGL-000101,3/12/2026
AGL-000102,3/12/2026
AGL-000103,3/12/2026
AGL-000104,3/13/2026
AGL-000105,3/13/2026
AGL-000106,3/15/2026
AGL-000107,3/14/2026
AGL-000108,3/15/2026
AGL-000109,3/20/2026
AGL-000110,4/19/2026
AGL-000111,3/21/2026
AGL-000112,3/26/2026
AGL-000113,3/26/2026
AGL-000114,3/26/2026
AGL-000115,3/27/2026
AGL-000116,3/27/2026
AGL-000117,3/28/2026
AGL-000118,3/29/2026
AGL-000119,3/29/2026
AGL-000120,4/1/2026
AGL-000121,4/2/2026
AGL-000122,4/4/2026
AGL-000123,4/4/2026
AGL-000124,4/5/2026
AGL-000125,4/6/2026
AGL-000126,4/6/2026
AGL-000127,4/6/2026
AGL-000128,4/6/2026
AGL-000129,4/11/2026
AGL-000130,4/12/2026
AGL-000131,4/18/2026
AGL-000132,4/18/2026
AGL-000133,4/19/2026
AGL-000134,4/21/2026
AGL-000135,4/21/2026
AGL-000136,4/21/2026
AGL-000137,4/21/2026
AGL-000138,9/2/2026
AGL-000139,9/2/2026
AGL-000140,8/1/2026
AGL-000141,9/2/2026
AGL-000142,9/22/2026
